chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
.\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java, AbstractAnnotation, 54, 95, 1.7592592592592593, 15, 0.11728395061728396
.\src\main\java\org\jfree\chart\annotations\AbstractXYAnnotation.java, AbstractXYAnnotation, 62, 74, 1.1935483870967742, 17, 0.07020872865275142
.\src\main\java\org\jfree\chart\annotations\Annotation.java, Annotation, 4, 15, 3.75, 2, 1.875
.\src\main\java\org\jfree\chart\annotations\CategoryAnnotation.java, CategoryAnnotation, 3, 15, 5.0, 1, 5.0
.\src\main\java\org\jfree\chart\annotations\CategoryLineAnnotation.java, CategoryLineAnnotation, 156, 157, 1.0064102564102564, 29, 0.03470380194518125
.\src\main\java\org\jfree\chart\annotations\CategoryPointerAnnotation.java, CategoryPointerAnnotation, 197, 208, 1.0558375634517767, 35, 0.03016678752719362
.\src\main\java\org\jfree\chart\annotations\CategoryTextAnnotation.java, CategoryTextAnnotation, 93, 88, 0.946236559139785, 19, 0.049801924165251844
.\src\main\java\org\jfree\chart\annotations\TextAnnotation.java, TextAnnotation, 120, 141, 1.175, 25, 0.047
.\src\main\java\org\jfree\chart\annotations\XYAnnotation.java, XYAnnotation, 3, 18, 6.0, 1, 6.0
.\src\main\java\org\jfree\chart\annotations\XYAnnotationBoundsInfo.java, XYAnnotationBoundsInfo, 5, 22, 4.4, 3, 1.4666666666666668
.\src\main\java\org\jfree\chart\annotations\XYBoxAnnotation.java, XYBoxAnnotation, 142, 131, 0.9225352112676056, 30, 0.030751173708920186
.\src\main\java\org\jfree\chart\annotations\XYDataImageAnnotation.java, XYDataImageAnnotation, 127, 141, 1.110236220472441, 28, 0.03965129358830146
.\src\main\java\org\jfree\chart\annotations\XYDrawableAnnotation.java, XYDrawableAnnotation, 112, 93, 0.8303571428571429, 21, 0.039540816326530615
.\src\main\java\org\jfree\chart\annotations\XYImageAnnotation.java, XYImageAnnotation, 104, 102, 0.9807692307692307, 22, 0.04458041958041958
.\src\main\java\org\jfree\chart\annotations\XYLineAnnotation.java, XYLineAnnotation, 138, 116, 0.8405797101449275, 27, 0.031132581857219538
.\src\main\java\org\jfree\chart\annotations\XYPointerAnnotation.java, XYPointerAnnotation, 209, 207, 0.9904306220095693, 37, 0.02676839518944782
.\src\main\java\org\jfree\chart\annotations\XYPolygonAnnotation.java, XYPolygonAnnotation, 128, 115, 0.8984375, 29, 0.030980603448275863
.\src\main\java\org\jfree\chart\annotations\XYShapeAnnotation.java, XYShapeAnnotation, 115, 84, 0.7304347826086957, 21, 0.034782608695652174
.\src\main\java\org\jfree\chart\annotations\XYTextAnnotation.java, XYTextAnnotation, 243, 266, 1.0946502057613168, 49, 0.022339800117577892
.\src\main\java\org\jfree\chart\annotations\XYTitleAnnotation.java, XYTitleAnnotation, 172, 111, 0.6453488372093024, 36, 0.017926356589147287
.\src\main\java\org\jfree\chart\api\HorizontalAlignment.java, HorizontalAlignment, 3, 7, 2.3333333333333335, 0, 2.3333333333333335
.\src\main\java\org\jfree\chart\api\Layer.java, Layer, 3, 5, 1.6666666666666667, 0, 1.6666666666666667
.\src\main\java\org\jfree\chart\api\LengthAdjustmentType.java, LengthAdjustmentType, 3, 7, 2.3333333333333335, 0, 2.3333333333333335
.\src\main\java\org\jfree\chart\api\PublicCloneable.java, PublicCloneable, 3, 14, 4.666666666666667, 1, 4.666666666666667
.\src\main\java\org\jfree\chart\api\RectangleAlignment.java, RectangleAlignment, 77, 21, 0.2727272727272727, 14, 0.01948051948051948
.\src\main\java\org\jfree\chart\api\RectangleAnchor.java, RectangleAnchor, 86, 30, 0.3488372093023256, 22, 0.015856236786469344
.\src\main\java\org\jfree\chart\api\RectangleEdge.java, RectangleEdge, 37, 38, 1.027027027027027, 14, 0.07335907335907335
.\src\main\java\org\jfree\chart\api\RectangleInsets.java, RectangleInsets, 224, 211, 0.9419642857142857, 52, 0.0181146978021978
.\src\main\java\org\jfree\chart\api\Rotation.java, Rotation, 10, 21, 2.1, 2, 1.05
.\src\main\java\org\jfree\chart\api\SortOrder.java, SortOrder, 3, 5, 1.6666666666666667, 0, 1.6666666666666667
.\src\main\java\org\jfree\chart\api\TableOrder.java, TableOrder, 3, 5, 1.6666666666666667, 0, 1.6666666666666667
.\src\main\java\org\jfree\chart\api\UnitType.java, UnitType, 3, 5, 1.6666666666666667, 0, 1.6666666666666667
