chemin, paquet, paquet_LOC, paquet_CLOC, paquet_DC, WCP, paquet_BC
E:\Projects\jfreechart, jfreechart, 113226, 89899, 0.7939784148517125, 20594, 3.855387078040752E-5
E:\Projects\jfreechart\.git, .git, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.git\hooks, hooks, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.git\info, info, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.git\logs, logs, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.git\logs\refs, refs, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.git\logs\refs\heads, heads, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.git\logs\refs\remotes, remotes, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.git\logs\refs\remotes\origin, origin, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.git\objects, objects, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.git\objects\info, info, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.git\objects\pack, pack, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.git\refs, refs, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.git\refs\heads, heads, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.git\refs\remotes, remotes, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.git\refs\remotes\origin, origin, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.git\refs\tags, tags, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.github, .github, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\.github\workflows, workflows, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src, src, 113226, 89899, 0.7939784148517125, 20594, 3.855387078040752E-5
E:\Projects\jfreechart\src\main, main, 78164, 78293, 1.0016503761322348, 17654, 5.6737871084866594E-5
E:\Projects\jfreechart\src\main\java, java, 78164, 78293, 1.0016503761322348, 17654, 5.6737871084866594E-5
E:\Projects\jfreechart\src\main\java\org, org, 78164, 78293, 1.0016503761322348, 17654, 5.6737871084866594E-5
E:\Projects\jfreechart\src\main\java\org\jfree, jfree, 78164, 78293, 1.0016503761322348, 17654, 5.6737871084866594E-5
E:\Projects\jfreechart\src\main\java\org\jfree\chart, chart, 60564, 58475, 0.9655075622482002, 13497, 7.153497534623993E-5
E:\Projects\jfreechart\src\main\java\org\jfree\chart\annotations, annotations, 2187, 2199, 1.0054869684499315, 447, 0.002249411562527811
E:\Projects\jfreechart\src\main\java\org\jfree\chart\api, api, 461, 388, 0.841648590021692, 105, 0.008015700857349447
E:\Projects\jfreechart\src\main\java\org\jfree\chart\axis, axis, 7757, 6834, 0.8810107000128916, 1687, 5.222351511635398E-4
E:\Projects\jfreechart\src\main\java\org\jfree\chart\block, block, 1966, 1807, 0.9191251271617498, 478, 0.00192285591456433
E:\Projects\jfreechart\src\main\java\org\jfree\chart\date, date, 511, 676, 1.3228962818003913, 156, 0.008480104370515329
E:\Projects\jfreechart\src\main\java\org\jfree\chart\encoders, encoders, 165, 288, 1.7454545454545454, 37, 0.04717444717444717
E:\Projects\jfreechart\src\main\java\org\jfree\chart\entity, entity, 860, 1007, 1.1709302325581394, 210, 0.005575858250276854
E:\Projects\jfreechart\src\main\java\org\jfree\chart\event, event, 159, 299, 1.880503144654088, 36, 0.052236198462613556
E:\Projects\jfreechart\src\main\java\org\jfree\chart\imagemap, imagemap, 132, 178, 1.3484848484848484, 34, 0.039661319073083776
E:\Projects\jfreechart\src\main\java\org\jfree\chart\internal, internal, 1040, 698, 0.6711538461538461, 219, 0.003064629434492448
E:\Projects\jfreechart\src\main\java\org\jfree\chart\labels, labels, 1759, 1965, 1.1171119954519613, 391, 0.0028570639269871133
E:\Projects\jfreechart\src\main\java\org\jfree\chart\legend, legend, 1396, 1419, 1.0164756446991403, 314, 0.003237183581844396
E:\Projects\jfreechart\src\main\java\org\jfree\chart\plot, plot, 17078, 16401, 0.9603583557793652, 3750, 2.5609556154116407E-4
E:\Projects\jfreechart\src\main\java\org\jfree\chart\plot\compass, compass, 1005, 773, 0.7691542288557214, 211, 0.0036452807054773526
E:\Projects\jfreechart\src\main\java\org\jfree\chart\plot\dial, dial, 2315, 2695, 1.16414686825054, 456, 0.0025529536584441665
E:\Projects\jfreechart\src\main\java\org\jfree\chart\plot\flow, flow, 414, 265, 0.6400966183574879, 77, 0.00831294309555179
E:\Projects\jfreechart\src\main\java\org\jfree\chart\plot\pie, pie, 1976, 1847, 0.9347165991902834, 420, 0.0022255157123578177
E:\Projects\jfreechart\src\main\java\org\jfree\chart\renderer, renderer, 15600, 15461, 0.9910897435897436, 3592, 2.759158528924676E-4
E:\Projects\jfreechart\src\main\java\org\jfree\chart\renderer\category, category, 5222, 5121, 0.9806587514362314, 1250, 7.845270011489851E-4
E:\Projects\jfreechart\src\main\java\org\jfree\chart\renderer\xy, xy, 8013, 7669, 0.9570697616373394, 1750, 5.468970066499082E-4
E:\Projects\jfreechart\src\main\java\org\jfree\chart\swing, swing, 3633, 2789, 0.7676851087255712, 744, 0.0010318348235558753
E:\Projects\jfreechart\src\main\java\org\jfree\chart\swing\editor, editor, 1469, 957, 0.6514635806671205, 270, 0.0024128280765448908
E:\Projects\jfreechart\src\main\java\org\jfree\chart\text, text, 1280, 1288, 1.00625, 282, 0.003568262411347518
E:\Projects\jfreechart\src\main\java\org\jfree\chart\text\format, format, 366, 423, 1.1557377049180328, 78, 0.014817150063051704
E:\Projects\jfreechart\src\main\java\org\jfree\chart\title, title, 858, 837, 0.9755244755244755, 209, 0.004667581222605146
E:\Projects\jfreechart\src\main\java\org\jfree\chart\urls, urls, 516, 483, 0.936046511627907, 123, 0.007610134240877292
E:\Projects\jfreechart\src\main\java\org\jfree\chart\util, util, 590, 595, 1.0084745762711864, 133, 0.007582515611061552
E:\Projects\jfreechart\src\main\java\org\jfree\data, data, 17600, 19818, 1.1260227272727272, 4157, 2.708738819515822E-4
E:\Projects\jfreechart\src\main\java\org\jfree\data\category, category, 744, 882, 1.185483870967742, 196, 0.006048387096774194
E:\Projects\jfreechart\src\main\java\org\jfree\data\flow, flow, 378, 382, 1.0105820105820107, 88, 0.011483886483886485
E:\Projects\jfreechart\src\main\java\org\jfree\data\function, function, 161, 186, 1.15527950310559, 37, 0.031223770354205135
E:\Projects\jfreechart\src\main\java\org\jfree\data\gantt, gantt, 900, 1063, 1.181111111111111, 213, 0.005545122587376108
E:\Projects\jfreechart\src\main\java\org\jfree\data\general, general, 1994, 1890, 0.9478435305917753, 494, 0.001918711600388209
E:\Projects\jfreechart\src\main\java\org\jfree\data\io, io, 76, 56, 0.7368421052631579, 16, 0.046052631578947366
E:\Projects\jfreechart\src\main\java\org\jfree\data\json, json, 373, 338, 0.9061662198391421, 81, 0.011187237281964718
E:\Projects\jfreechart\src\main\java\org\jfree\data\json\impl, impl, 285, 288, 1.0105263157894737, 69, 0.014645308924485127
E:\Projects\jfreechart\src\main\java\org\jfree\data\resources, resources, 42, 55, 1.3095238095238095, 6, 0.21825396825396826
E:\Projects\jfreechart\src\main\java\org\jfree\data\statistics, statistics, 2355, 2421, 1.0280254777070064, 539, 0.001907282889994446
E:\Projects\jfreechart\src\main\java\org\jfree\data\time, time, 4493, 5035, 1.1206320943690184, 1020, 0.0010986589160480573
E:\Projects\jfreechart\src\main\java\org\jfree\data\time\ohlc, ohlc, 299, 380, 1.2709030100334449, 72, 0.017651430694908956
E:\Projects\jfreechart\src\main\java\org\jfree\data\xml, xml, 338, 357, 1.0562130177514792, 77, 0.01371705217859064
E:\Projects\jfreechart\src\main\java\org\jfree\data\xy, xy, 3939, 5381, 1.3660827621223661, 944, 0.0014471215700448794
E:\Projects\jfreechart\src\main\javadoc, javadoc, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\javadoc\org, org, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\javadoc\org\jfree, jfree, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\javadoc\org\jfree\chart, chart, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\javadoc\org\jfree\chart\plot, plot, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\javadoc\org\jfree\chart\plot\doc-files, doc-files, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\javadoc\org\jfree\chart\renderer, renderer, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\javadoc\org\jfree\chart\renderer\category, category, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\javadoc\org\jfree\chart\renderer\category\doc-files, doc-files, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\javadoc\org\jfree\chart\renderer\xy, xy, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\javadoc\org\jfree\chart\renderer\xy\doc-files, doc-files, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\resources, resources, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\resources\org, org, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\resources\org\jfree, jfree, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\resources\org\jfree\chart, chart, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\resources\org\jfree\chart\editor, editor, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\resources\org\jfree\chart\plot, plot, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\main\resources\org\jfree\chart\ui, ui, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\src\test, test, 35062, 11606, 0.33101363299298386, 2940, 1.1258967108604893E-4
E:\Projects\jfreechart\src\test\java, java, 35062, 11606, 0.33101363299298386, 2940, 1.1258967108604893E-4
E:\Projects\jfreechart\src\test\java\org, org, 35062, 11606, 0.33101363299298386, 2940, 1.1258967108604893E-4
E:\Projects\jfreechart\src\test\java\org\jfree, jfree, 35062, 11606, 0.33101363299298386, 2940, 1.1258967108604893E-4
E:\Projects\jfreechart\src\test\java\org\jfree\chart, chart, 20666, 6981, 0.337801219394174, 1520, 2.2223764433827237E-4
E:\Projects\jfreechart\src\test\java\org\jfree\chart\annotations, annotations, 955, 392, 0.41047120418848165, 74, 0.005546908164709211
E:\Projects\jfreechart\src\test\java\org\jfree\chart\api, api, 42, 6, 0.14285714285714285, 1, 0.14285714285714285
E:\Projects\jfreechart\src\test\java\org\jfree\chart\axis, axis, 2736, 846, 0.3092105263157895, 164, 0.0018854300385109115
E:\Projects\jfreechart\src\test\java\org\jfree\chart\block, block, 1084, 337, 0.31088560885608857, 56, 0.0055515287295730105
E:\Projects\jfreechart\src\test\java\org\jfree\chart\entity, entity, 330, 99, 0.3, 24, 0.012499999999999999
E:\Projects\jfreechart\src\test\java\org\jfree\chart\imagemap, imagemap, 77, 33, 0.42857142857142855, 9, 0.047619047619047616
E:\Projects\jfreechart\src\test\java\org\jfree\chart\internal, internal, 273, 54, 0.1978021978021978, 26, 0.007607776838546069
E:\Projects\jfreechart\src\test\java\org\jfree\chart\labels, labels, 1048, 394, 0.37595419847328243, 101, 0.0037223187967651726
E:\Projects\jfreechart\src\test\java\org\jfree\chart\legend, legend, 245, 75, 0.30612244897959184, 13, 0.023547880690737835
E:\Projects\jfreechart\src\test\java\org\jfree\chart\plot, plot, 5747, 1662, 0.28919436227597006, 369, 7.83724559013469E-4
E:\Projects\jfreechart\src\test\java\org\jfree\chart\plot\compass, compass, 297, 133, 0.4478114478114478, 31, 0.014445530574562833
E:\Projects\jfreechart\src\test\java\org\jfree\chart\plot\dial, dial, 875, 309, 0.35314285714285715, 56, 0.006306122448979592
E:\Projects\jfreechart\src\test\java\org\jfree\chart\plot\flow, flow, 167, 27, 0.16167664670658682, 15, 0.010778443113772455
E:\Projects\jfreechart\src\test\java\org\jfree\chart\plot\pie, pie, 548, 135, 0.24635036496350365, 29, 0.008494840171155298
E:\Projects\jfreechart\src\test\java\org\jfree\chart\renderer, renderer, 5448, 1774, 0.3256240822320117, 450, 7.236090716266927E-4
E:\Projects\jfreechart\src\test\java\org\jfree\chart\renderer\category, category, 1944, 696, 0.35802469135802467, 194, 0.0018454880997836323
E:\Projects\jfreechart\src\test\java\org\jfree\chart\renderer\xy, xy, 2534, 786, 0.31018153117600633, 202, 0.0015355521345346847
E:\Projects\jfreechart\src\test\java\org\jfree\chart\swing, swing, 214, 91, 0.4252336448598131, 22, 0.019328802039082413
E:\Projects\jfreechart\src\test\java\org\jfree\chart\text, text, 177, 47, 0.2655367231638418, 13, 0.020425901781833986
E:\Projects\jfreechart\src\test\java\org\jfree\chart\text\format, format, 177, 47, 0.2655367231638418, 13, 0.020425901781833986
E:\Projects\jfreechart\src\test\java\org\jfree\chart\title, title, 257, 161, 0.6264591439688716, 21, 0.029831387808041503
E:\Projects\jfreechart\src\test\java\org\jfree\chart\urls, urls, 348, 123, 0.35344827586206895, 28, 0.012623152709359606
E:\Projects\jfreechart\src\test\java\org\jfree\data, data, 14396, 4625, 0.3212697971658794, 1420, 2.2624633603230944E-4
E:\Projects\jfreechart\src\test\java\org\jfree\data\category, category, 717, 209, 0.2914923291492329, 78, 0.003737081142938883
E:\Projects\jfreechart\src\test\java\org\jfree\data\flow, flow, 114, 50, 0.43859649122807015, 12, 0.03654970760233918
E:\Projects\jfreechart\src\test\java\org\jfree\data\function, function, 142, 72, 0.5070422535211268, 19, 0.026686434395848776
E:\Projects\jfreechart\src\test\java\org\jfree\data\gantt, gantt, 672, 173, 0.25744047619047616, 52, 0.004950778388278388
E:\Projects\jfreechart\src\test\java\org\jfree\data\general, general, 1486, 572, 0.38492597577388965, 159, 0.002420918086628237
E:\Projects\jfreechart\src\test\java\org\jfree\data\statistics, statistics, 1278, 374, 0.29264475743348983, 113, 0.0025897766144556624
E:\Projects\jfreechart\src\test\java\org\jfree\data\time, time, 4864, 1589, 0.3266858552631579, 531, 6.152275993656457E-4
E:\Projects\jfreechart\src\test\java\org\jfree\data\time\ohlc, ohlc, 370, 127, 0.34324324324324323, 32, 0.010726351351351351
E:\Projects\jfreechart\src\test\java\org\jfree\data\xy, xy, 3388, 1076, 0.31759149940968123, 290, 0.0010951431014126938
E:\Projects\jfreechart\svg, svg, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\svg\js, js, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\svg\js\src, src, 0, 0, 0.0, 0, 0.0
E:\Projects\jfreechart\svg\lib, lib, 0, 0, 0.0, 0, 0.0
